layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5
Dot3,54,LLC,40,Raw,37.0,,,,,920293213.341635,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,14,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293214.342362,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,15,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293215.342222,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,16,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293216.342945,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,17,,
Ether,60,Raw,46,,,,,,,920293217.2739213,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_monday.tcpdump,18,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293217.8428288,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,19,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293218.84365,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,20,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293219.84255,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,21,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293220.841751,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,22,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293221.842617,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,23,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293222.84222,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,24,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293223.84234,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,25,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293224.843206,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,26,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293225.8425312,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,27,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293226.842606,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,28,,
Ether,60,Raw,46,,,,,,,920293227.273698,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_monday.tcpdump,29,,
Ether,90,IP,76,UDP,56.0,NTPHeader,48.0,,,920293228.060822,90,08:00:20:11:34:bf,00:c0:4f:a3:58:23,192.168.1.90,192.168.1.10,,123.0,123.0,week1_monday.tcpdump,30,,
Ether,90,IP,76,UDP,56.0,NTPHeader,48.0,,,920293228.062444,90,00:c0:4f:a3:58:23,08:00:20:11:34:bf,192.168.1.10,192.168.1.90,,123.0,123.0,week1_monday.tcpdump,31,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293228.842676,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,32,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293229.842945,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,33,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293230.842758,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,34,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293231.8428369,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,35,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293232.842112,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,36,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293233.84208,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,37,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293234.841881,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,38,,
Ether,66,IP,52,UDP,32.0,RIP,24.0,RIPEntry,20.0,920293235.426752,66,00:10:7b:38:46:32,01:00:5e:00:00:09,192.168.1.1,224.0.0.9,,520.0,520.0,week1_monday.tcpdump,39,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293236.343167,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,40,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293237.342194,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,41,,
Ether,60,Raw,46,,,,,,,920293237.517942,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_monday.tcpdump,42,,
Ether,90,IP,76,UDP,56.0,NTPHeader,48.0,,,920293238.73678,90,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.10,,123.0,123.0,week1_monday.tcpdump,43,,
Dot3,54,LLC,40,Raw,37.0,,,,,920293239.342265,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_monday.tcpdump,44,,
Ether,80,IP,66,UDP,46.0,DNS,38.0,,,920293239.6251552,80,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,45,,
Ether,145,IP,131,UDP,111.0,DNS,103.0,,,920293239.628786,145,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,46,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293239.631363,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,2.0,1024.0,79.0,week1_monday.tcpdump,47,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293239.636038,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,18.0,79.0,1024.0,week1_monday.tcpdump,48,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293239.636238,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,16.0,1024.0,79.0,week1_monday.tcpdump,49,,
Ether,60,IP,46,TCP,26.0,Raw,6.0,Padding,2.0,920293239.636784,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,24.0,1024.0,79.0,week1_monday.tcpdump,50,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293239.648472,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,16.0,79.0,1024.0,week1_monday.tcpdump,51,,
Ether,60,IP,46,TCP,26.0,Raw,6.0,Padding,4.0,920293239.648615,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,24.0,1024.0,79.0,week1_monday.tcpdump,52,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293239.6683712,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,16.0,79.0,1024.0,week1_monday.tcpdump,53,,
Ether,329,IP,315,TCP,295.0,Raw,275.0,,,920293240.152445,329,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,24.0,79.0,1024.0,week1_monday.tcpdump,54,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293240.15259,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,17.0,79.0,1024.0,week1_monday.tcpdump,55,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293240.1526588,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,16.0,1024.0,79.0,week1_monday.tcpdump,56,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293240.157142,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.113.105,17.0,1024.0,79.0,week1_monday.tcpdump,57,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293240.157801,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.113.105,196.37.75.158,16.0,79.0,1024.0,week1_monday.tcpdump,58,,
Ether,77,IP,63,UDP,43.0,DNS,35.0,,,920293240.6826812,77,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,59,,
Ether,133,IP,119,UDP,99.0,DNS,91.0,,,920293240.6837052,133,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,60,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293240.703176,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,2.0,1024.0,25.0,week1_monday.tcpdump,61,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293240.703496,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,18.0,25.0,1024.0,week1_monday.tcpdump,62,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293240.706315,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,16.0,1024.0,25.0,week1_monday.tcpdump,63,,
Ether,87,IP,73,UDP,53.0,DNS,45.0,,,920293240.874243,87,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,64,,
Ether,176,IP,162,UDP,142.0,DNS,134.0,,,920293240.875567,176,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,65,,
Ether,79,IP,65,UDP,45.0,DNS,37.0,,,920293240.877054,79,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,66,,
Ether,144,IP,130,UDP,110.0,DNS,102.0,,,920293240.8780768,144,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,67,,
Ether,138,IP,124,TCP,104.0,SMTPResponse,84.0,,,920293240.954857,138,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,68,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293240.968468,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,16.0,1024.0,25.0,week1_monday.tcpdump,69,,
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,,,920293240.9911788,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,70,,
Ether,80,IP,66,TCP,46.0,SMTPResponse,26.0,,,920293240.9914428,80,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,71,,
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,,,920293240.992448,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,72,,
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,,,920293240.99269,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,73,,
Ether,95,IP,81,TCP,61.0,SMTPRequest,41.0,,,920293240.9935528,95,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,74,,
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,,,920293240.9938,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,75,,
Ether,89,IP,75,TCP,55.0,SMTPRequest,35.0,,,920293240.9946972,89,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,76,,
Ether,88,IP,74,TCP,54.0,SMTPResponse,34.0,,,920293240.99493,88,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,77,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920293240.9957348,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,78,,
Ether,104,IP,90,TCP,70.0,SMTPResponse,50.0,,,920293240.9968492,104,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,79,,
Ether,1078,IP,1064,TCP,1044.0,SMTPRequest,1024.0,,,920293240.999288,1078,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,80,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.015828,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,16.0,25.0,1024.0,week1_monday.tcpdump,81,,
Ether,349,IP,335,TCP,315.0,SMTPRequest,295.0,,,920293241.016952,349,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,82,,
Ether,73,IP,59,TCP,39.0,SMTPResponse,19.0,,,920293241.018508,73,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,83,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920293241.019264,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,24.0,1024.0,25.0,week1_monday.tcpdump,84,,
Ether,78,IP,64,TCP,44.0,SMTPResponse,24.0,,,920293241.019482,78,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,24.0,25.0,1024.0,week1_monday.tcpdump,85,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.020056,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,17.0,25.0,1024.0,week1_monday.tcpdump,86,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.0207132,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,16.0,1024.0,25.0,week1_monday.tcpdump,87,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.026281,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.73.151.50,17.0,1024.0,25.0,week1_monday.tcpdump,88,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.026503,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.73.151.50,172.16.114.207,16.0,25.0,1024.0,week1_monday.tcpdump,89,,
Ether,75,IP,61,UDP,41.0,DNS,33.0,,,920293241.248295,75,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,90,,
Ether,129,IP,115,UDP,95.0,DNS,87.0,,,920293241.249168,129,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,91,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293241.254533,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,2.0,1026.0,25.0,week1_monday.tcpdump,92,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293241.254833,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,18.0,25.0,1026.0,week1_monday.tcpdump,93,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293241.255604,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,16.0,1026.0,25.0,week1_monday.tcpdump,94,,
Ether,74,IP,60,UDP,40.0,DNS,32.0,,,920293241.3377948,74,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,95,,
Ether,144,IP,130,UDP,110.0,DNS,102.0,,,920293241.339223,144,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,96,,
Ether,136,IP,122,TCP,102.0,SMTPResponse,82.0,,,920293242.043267,136,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,97,,
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,,,920293242.04566,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,98,,
Ether,80,IP,66,TCP,46.0,SMTPResponse,26.0,,,920293242.046031,80,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,99,,
Ether,80,IP,66,TCP,46.0,SMTPRequest,26.0,,,920293242.046864,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,100,,
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,,,920293242.047108,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,101,,
Ether,95,IP,81,TCP,61.0,SMTPRequest,41.0,,,920293242.047941,95,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,102,,
Ether,102,IP,88,TCP,68.0,SMTPResponse,48.0,,,920293242.048192,102,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,103,,
Ether,90,IP,76,TCP,56.0,SMTPRequest,36.0,,,920293242.0490848,90,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,104,,
Ether,89,IP,75,TCP,55.0,SMTPResponse,35.0,,,920293242.0493188,89,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,105,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920293242.050107,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,106,,
Ether,104,IP,90,TCP,70.0,SMTPResponse,50.0,,,920293242.0511768,104,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,107,,
Ether,1078,IP,1064,TCP,1044.0,SMTPRequest,1024.0,,,920293242.05364,1078,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,108,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293242.0658368,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,16.0,25.0,1026.0,week1_monday.tcpdump,109,,
Ether,349,IP,335,TCP,315.0,SMTPRequest,295.0,,,920293242.066927,349,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,110,,
Ether,73,IP,59,TCP,39.0,SMTPResponse,19.0,,,920293242.070051,73,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,111,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920293242.0707812,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,24.0,1026.0,25.0,week1_monday.tcpdump,112,,
Ether,78,IP,64,TCP,44.0,SMTPResponse,24.0,,,920293242.071017,78,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,24.0,25.0,1026.0,week1_monday.tcpdump,113,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293242.071582,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,17.0,25.0,1026.0,week1_monday.tcpdump,114,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293242.072249,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,16.0,1026.0,25.0,week1_monday.tcpdump,115,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293242.078796,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,196.227.33.189,17.0,1026.0,25.0,week1_monday.tcpdump,116,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293242.0789652,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.227.33.189,172.16.114.207,16.0,25.0,1026.0,week1_monday.tcpdump,117,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293242.0814712,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,197.218.177.69,2.0,1027.0,25.0,week1_monday.tcpdump,118,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293242.0817312,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,197.218.177.69,172.16.114.207,18.0,25.0,1027.0,week1_monday.tcpdump,119,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293242.082526,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,197.218.177.69,16.0,1027.0,25.0,week1_monday.tcpdump,120,,
Ether,77,IP,63,UDP,43.0,DNS,35.0,,,920293242.850006,77,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,121,,
Ether,142,IP,128,UDP,108.0,DNS,100.0,,,920293242.851073,142,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,122,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293242.856378,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.112.100,2.0,1026.0,25.0,week1_monday.tcpdump,123,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920293242.86103,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.100,196.37.75.158,18.0,25.0,1026.0,week1_monday.tcpdump,124,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293242.8612947,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.112.100,16.0,1026.0,25.0,week1_monday.tcpdump,125,,
Ether,86,IP,72,UDP,52.0,DNS,44.0,,,920293242.886452,86,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_monday.tcpdump,126,,
Ether,157,IP,143,UDP,123.0,DNS,115.0,,,920293242.888024,157,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_monday.tcpdump,127,,
Ether,86,IP,72,TCP,52.0,SMTPResponse,32.0,,,920293242.89002,86,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.100,196.37.75.158,24.0,25.0,1026.0,week1_monday.tcpdump,128,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920293242.905836,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.112.100,16.0,1026.0,25.0,week1_monday.tcpdump,129,,
Ether,79,IP,65,TCP,45.0,SMTPRequest,25.0,,,920293242.9264928,79,00:c0:4f:a3:58:23,00:10:7b:38:46:32,196.37.75.158,172.16.112.100,24.0,1026.0,25.0,week1_monday.tcpdump,130,,
Ether,60,IP,46,TCP,26.0,SMTPResponse,6.0,,,920293242.9273368,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.100,196.37.75.158,24.0,25.0,1026.0,week1_monday.tcpdump,131,,
