layers_0,length_0,layers_1,length_1,layers_2,length_2,layers_3,length_3,layers_4,length_4,timestamps,length_total,mac_src,mac_dst,ip_src,ip_dst,flags,sport,dport,filename,num_packet,layers_5,length_5
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466009.543106,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,12,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466009.544697,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,13,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466010.695234,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,14,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466011.538104,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,15,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466011.539632,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,16,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466012.1955812,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,17,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466013.1959528,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,18,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466013.550048,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,19,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466013.5514972,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,20,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466014.694358,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,21,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466015.545085,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,22,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466015.5465368,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,23,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466016.194708,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,24,,
Ether,79,IP,65,UDP,45.0,DNS,37.0,,,920466016.2381072,79,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_wednesday.tcpdump,25,,
Ether,144,IP,130,UDP,110.0,DNS,102.0,,,920466016.24164,144,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_wednesday.tcpdump,26,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466016.247017,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,2.0,1024.0,25.0,week1_wednesday.tcpdump,27,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466016.2518632,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,18.0,25.0,1024.0,week1_wednesday.tcpdump,28,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466016.2520572,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,16.0,1024.0,25.0,week1_wednesday.tcpdump,29,,
Ether,88,IP,74,UDP,54.0,DNS,46.0,,,920466016.265616,88,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_wednesday.tcpdump,30,,
Ether,159,IP,145,UDP,125.0,DNS,117.0,,,920466016.266567,159,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_wednesday.tcpdump,31,,
Ether,76,IP,62,UDP,42.0,DNS,34.0,,,920466016.268558,76,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_wednesday.tcpdump,32,,
Ether,130,IP,116,UDP,96.0,DNS,88.0,,,920466016.269009,130,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_wednesday.tcpdump,33,,
Ether,138,IP,124,TCP,104.0,SMTPResponse,84.0,,,920466016.2789972,138,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,24.0,25.0,1024.0,week1_wednesday.tcpdump,34,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466016.290098,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,16.0,1024.0,25.0,week1_wednesday.tcpdump,35,,
Ether,77,IP,63,TCP,43.0,SMTPRequest,23.0,,,920466016.314967,77,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,24.0,1024.0,25.0,week1_wednesday.tcpdump,36,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466016.331199,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,16.0,25.0,1024.0,week1_wednesday.tcpdump,37,,
Ether,80,IP,66,TCP,46.0,SMTPResponse,26.0,,,920466016.336383,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,24.0,25.0,1024.0,week1_wednesday.tcpdump,38,,
Ether,77,IP,63,TCP,43.0,SMTPRequest,23.0,,,920466016.3367108,77,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,24.0,1024.0,25.0,week1_wednesday.tcpdump,39,,
Ether,99,IP,85,TCP,65.0,SMTPResponse,45.0,,,920466016.33754,99,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,24.0,25.0,1024.0,week1_wednesday.tcpdump,40,,
Ether,92,IP,78,TCP,58.0,SMTPRequest,38.0,,,920466016.337842,92,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,24.0,1024.0,25.0,week1_wednesday.tcpdump,41,,
Ether,99,IP,85,TCP,65.0,SMTPResponse,45.0,,,920466016.338634,99,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,24.0,25.0,1024.0,week1_wednesday.tcpdump,42,,
Ether,92,IP,78,TCP,58.0,SMTPRequest,38.0,,,920466016.338968,92,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,24.0,1024.0,25.0,week1_wednesday.tcpdump,43,,
Ether,91,IP,77,TCP,57.0,SMTPResponse,37.0,,,920466016.3397472,91,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,24.0,25.0,1024.0,week1_wednesday.tcpdump,44,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920466016.340054,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,24.0,1024.0,25.0,week1_wednesday.tcpdump,45,,
Ether,104,IP,90,TCP,70.0,SMTPResponse,50.0,,,920466016.342138,104,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,24.0,25.0,1024.0,week1_wednesday.tcpdump,46,,
Ether,734,IP,720,TCP,700.0,SMTPRequest,680.0,,,920466016.342976,734,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,24.0,1024.0,25.0,week1_wednesday.tcpdump,47,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466016.360817,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,16.0,25.0,1024.0,week1_wednesday.tcpdump,48,,
Ether,73,IP,59,TCP,39.0,SMTPResponse,19.0,,,920466016.363843,73,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,24.0,25.0,1024.0,week1_wednesday.tcpdump,49,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920466016.36405,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,24.0,1024.0,25.0,week1_wednesday.tcpdump,50,,
Ether,78,IP,64,TCP,44.0,SMTPResponse,24.0,,,920466016.364811,78,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,24.0,25.0,1024.0,week1_wednesday.tcpdump,51,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466016.365544,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,17.0,25.0,1024.0,week1_wednesday.tcpdump,52,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466016.365701,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,16.0,1024.0,25.0,week1_wednesday.tcpdump,53,,
Ether,78,IP,64,UDP,44.0,DNS,36.0,,,920466016.3687212,78,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_wednesday.tcpdump,54,,
Ether,143,IP,129,UDP,109.0,DNS,101.0,,,920466016.370191,143,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_wednesday.tcpdump,55,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466016.3729552,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.114.207,17.0,1024.0,25.0,week1_wednesday.tcpdump,56,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466016.373276,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.112.149,2.0,1026.0,25.0,week1_wednesday.tcpdump,57,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466016.37397,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.207,195.115.218.108,16.0,25.0,1024.0,week1_wednesday.tcpdump,58,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466016.376484,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,18.0,25.0,1026.0,week1_wednesday.tcpdump,59,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466016.376652,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.112.149,16.0,1026.0,25.0,week1_wednesday.tcpdump,60,,
Ether,71,IP,57,UDP,37.0,DNS,29.0,,,920466017.383407,71,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,195.115.218.108,,53.0,53.0,week1_wednesday.tcpdump,61,,
Ether,142,IP,128,UDP,108.0,DNS,100.0,,,920466017.384501,142,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_wednesday.tcpdump,62,,
Ether,137,IP,123,TCP,103.0,SMTPResponse,83.0,,,920466017.393542,137,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,24.0,25.0,1026.0,week1_wednesday.tcpdump,63,,
Ether,77,IP,63,TCP,43.0,SMTPRequest,23.0,,,920466017.395938,77,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.112.149,24.0,1026.0,25.0,week1_wednesday.tcpdump,64,,
Ether,80,IP,66,TCP,46.0,SMTPResponse,26.0,,,920466017.39679,80,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,24.0,25.0,1026.0,week1_wednesday.tcpdump,65,,
Ether,77,IP,63,TCP,43.0,SMTPRequest,23.0,,,920466017.3971,77,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.112.149,24.0,1026.0,25.0,week1_wednesday.tcpdump,66,,
Ether,99,IP,85,TCP,65.0,SMTPResponse,45.0,,,920466017.397877,99,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,24.0,25.0,1026.0,week1_wednesday.tcpdump,67,,
Ether,92,IP,78,TCP,58.0,SMTPRequest,38.0,,,920466017.3981508,92,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.112.149,24.0,1026.0,25.0,week1_wednesday.tcpdump,68,,
Ether,99,IP,85,TCP,65.0,SMTPResponse,45.0,,,920466017.398983,99,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,24.0,25.0,1026.0,week1_wednesday.tcpdump,69,,
Ether,93,IP,79,TCP,59.0,SMTPRequest,39.0,,,920466017.399309,93,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.112.149,24.0,1026.0,25.0,week1_wednesday.tcpdump,70,,
Ether,92,IP,78,TCP,58.0,SMTPResponse,38.0,,,920466017.400254,92,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,24.0,25.0,1026.0,week1_wednesday.tcpdump,71,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920466017.400534,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.112.149,24.0,1026.0,25.0,week1_wednesday.tcpdump,72,,
Ether,104,IP,90,TCP,70.0,SMTPResponse,50.0,,,920466017.40256,104,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,24.0,25.0,1026.0,week1_wednesday.tcpdump,73,,
Ether,734,IP,720,TCP,700.0,SMTPRequest,680.0,,,920466017.403396,734,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.112.149,24.0,1026.0,25.0,week1_wednesday.tcpdump,74,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466017.4207712,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,16.0,25.0,1026.0,week1_wednesday.tcpdump,75,,
Ether,73,IP,59,TCP,39.0,SMTPResponse,19.0,,,920466017.438874,73,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,24.0,25.0,1026.0,week1_wednesday.tcpdump,76,,
Ether,60,IP,46,TCP,26.0,SMTPRequest,6.0,,,920466017.4390948,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.112.149,24.0,1026.0,25.0,week1_wednesday.tcpdump,77,,
Ether,78,IP,64,TCP,44.0,SMTPResponse,24.0,,,920466017.439883,78,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,24.0,25.0,1026.0,week1_wednesday.tcpdump,78,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466017.4406028,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,17.0,25.0,1026.0,week1_wednesday.tcpdump,79,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466017.440772,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.112.149,16.0,1026.0,25.0,week1_wednesday.tcpdump,80,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466017.442207,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,195.115.218.108,172.16.112.149,17.0,1026.0,25.0,week1_wednesday.tcpdump,81,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466017.4429052,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.149,195.115.218.108,16.0,25.0,1026.0,week1_wednesday.tcpdump,82,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466017.540207,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,83,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466017.541633,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,84,,
Ether,60,Raw,46,,,,,,,920466017.687073,60,00:10:7b:38:46:32,00:10:7b:38:46:32,,,,,,week1_wednesday.tcpdump,85,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466018.6958232,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,86,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466019.551659,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,87,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466019.553093,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,88,,
Ether,77,IP,63,UDP,43.0,DNS,35.0,,,920466020.125261,77,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_wednesday.tcpdump,89,,
Ether,142,IP,128,UDP,108.0,DNS,100.0,,,920466020.12681,142,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_wednesday.tcpdump,90,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466020.127897,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,2.0,1027.0,21.0,week1_wednesday.tcpdump,91,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466020.132781,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,18.0,21.0,1027.0,week1_wednesday.tcpdump,92,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466020.13291,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,16.0,1027.0,21.0,week1_wednesday.tcpdump,93,,
Ether,86,IP,72,UDP,52.0,DNS,44.0,,,920466020.2471552,86,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,192.168.1.10,,53.0,53.0,week1_wednesday.tcpdump,94,,
Ether,154,IP,140,UDP,120.0,DNS,112.0,,,920466020.247926,154,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_wednesday.tcpdump,95,,
Ether,150,IP,136,TCP,116.0,FTPResponse,96.0,,,920466020.2789848,150,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,24.0,21.0,1027.0,week1_wednesday.tcpdump,96,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466020.289999,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,16.0,1027.0,21.0,week1_wednesday.tcpdump,97,,
Ether,70,IP,56,TCP,36.0,FTPRequest,16.0,,,920466020.620791,70,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,24.0,1027.0,21.0,week1_wednesday.tcpdump,98,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466020.640716,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,16.0,21.0,1027.0,week1_wednesday.tcpdump,99,,
Ether,122,IP,108,TCP,88.0,FTPResponse,68.0,,,920466020.668957,122,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,24.0,21.0,1027.0,week1_wednesday.tcpdump,100,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466020.67999,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,16.0,1027.0,21.0,week1_wednesday.tcpdump,101,,
Dot3,54,LLC,40,Raw,37.0,,,,,920466021.195375,54,08:00:09:61:aa:c9,08:00:09:61:aa:c9,,,,,,week1_wednesday.tcpdump,102,,
Ether,84,IP,70,TCP,50.0,FTPRequest,30.0,,,920466021.240712,84,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,24.0,1027.0,21.0,week1_wednesday.tcpdump,103,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466021.2607528,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,16.0,21.0,1027.0,week1_wednesday.tcpdump,104,,
Ether,102,IP,88,TCP,68.0,FTPResponse,48.0,,,920466021.3207712,102,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,24.0,21.0,1027.0,week1_wednesday.tcpdump,105,,
Ether,60,IP,46,TCP,26.0,FTPRequest,6.0,,,920466021.3212,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,24.0,1027.0,21.0,week1_wednesday.tcpdump,106,,
Ether,73,IP,59,TCP,39.0,FTPResponse,19.0,,,920466021.328249,73,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,24.0,21.0,1027.0,week1_wednesday.tcpdump,107,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466021.339983,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,16.0,1027.0,21.0,week1_wednesday.tcpdump,108,,
Ether,71,IP,57,UDP,37.0,DNS,29.0,,,920466021.4712528,71,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.112.20,195.115.218.108,,53.0,53.0,week1_wednesday.tcpdump,109,,
Ether,142,IP,128,UDP,108.0,DNS,100.0,,,920466021.471996,142,00:c0:4f:a3:58:23,00:10:7b:38:46:32,192.168.1.10,172.16.112.20,,53.0,53.0,week1_wednesday.tcpdump,110,,
Ether,146,IP,132,UDP,112.0,SNMP,104.0,,,920466021.530513,146,08:00:07:ce:05:21,00:10:7b:38:46:32,192.168.1.30,172.16.112.100,,32769.0,161.0,week1_wednesday.tcpdump,111,,
Ether,159,IP,145,UDP,125.0,SNMP,117.0,,,920466021.5320028,159,00:10:7b:38:46:32,08:00:07:ce:05:21,172.16.112.100,192.168.1.30,,161.0,32769.0,week1_wednesday.tcpdump,112,,
Ether,78,IP,64,TCP,44.0,FTPRequest,24.0,,,920466022.5838052,78,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,24.0,1027.0,21.0,week1_wednesday.tcpdump,113,,
Ether,84,IP,70,TCP,50.0,FTPResponse,30.0,,,920466022.58463,84,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,24.0,21.0,1027.0,week1_wednesday.tcpdump,114,,
Ether,60,IP,46,TCP,26.0,FTPRequest,6.0,,,920466022.585143,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,24.0,1027.0,21.0,week1_wednesday.tcpdump,115,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466022.587733,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,2.0,20.0,1028.0,week1_wednesday.tcpdump,116,,
Ether,60,IP,46,TCP,26.0,Padding,2.0,,,920466022.588018,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,18.0,1028.0,20.0,week1_wednesday.tcpdump,117,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466022.5886972,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,16.0,20.0,1028.0,week1_wednesday.tcpdump,118,,
Ether,107,IP,93,TCP,73.0,FTPResponse,53.0,,,920466022.589111,107,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,24.0,21.0,1027.0,week1_wednesday.tcpdump,119,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466022.59998,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,16.0,1027.0,21.0,week1_wednesday.tcpdump,120,,
Ether,812,IP,798,TCP,778.0,Raw,758.0,,,920466023.1763812,812,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,24.0,20.0,1028.0,week1_wednesday.tcpdump,121,,
Ether,78,IP,64,TCP,44.0,FTPResponse,24.0,,,920466023.176482,78,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,24.0,21.0,1027.0,week1_wednesday.tcpdump,122,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466023.176593,60,00:10:7b:38:46:32,00:c0:4f:a3:58:23,172.16.114.148,194.7.248.153,17.0,20.0,1028.0,week1_wednesday.tcpdump,123,,
Ether,60,IP,46,TCP,26.0,Padding,6.0,,,920466023.1767472,60,00:c0:4f:a3:58:23,00:10:7b:38:46:32,194.7.248.153,172.16.114.148,16.0,1028.0,20.0,week1_wednesday.tcpdump,124,,
